jako_df.key,jako_polygon_area,jako_df.multiplier,corrected_area
1756,546.727405118756,1.4363150708545867,785.2728116212903
1792,961.0709149502218,1.220774588761456,1173.2509509689532
1791,896.9138419888914,1.082392200292394,970.8125469030607
1681,4369.1011113952845,1.0025972368271479,4380.448701703333
1680,3299.7736715052743,1.0214030176374123,3370.3987855959704
1769,1288.6912149274722,1.0278792673207824,1324.618981802379
1679,2270.027847856283,1.0278792673207824,2333.314561052289
1682,6167.7908666771145,1.00095268516332,6173.666829526258
1698,3398.653772700345,1.0018686870561793,3405.0047930138253
1683,1255.0346426509786,1.0170302658112655,1276.4082162176715
1685,3799.924580992665,1.0075098254588484,3828.4613513527074
1686,2720.7060603676364,1.013905098524599,2758.537746193522
1689,2526.3721530651674,1.0086289605801528,2548.1721187847625
1786,37870.74670632533,1.0040138635496085,38022.75471612631
1785,6850.642659709789,1.009827572518618,6917.967847247226
1784,1801.2684163711965,1.0069799246935383,1813.8411342703164
1783,1133.4041722007096,1.02950343764298,1166.8434915195264
1782,5468.895144182257,1.0195911582083184,5576.037134176636
1781,4175.130688161356,1.0195911582083184,4256.92633401353
1780,1252.0998166445643,1.1114219584796228,1391.6112304270782
1779,2397.825530692935,1.035276180410083,2482.4116567055617
1778,1606.8278337828815,1.0154266118857451,1631.6157431418626
1777,11684.078171839938,1.0195911582083184,11912.982795822812
1776,1755.9902107790112,1.0086289605801528,1771.1425810869575
1775,19006.256147035863,1.0032668473515063,19068.34668459186
1755,1064.218582931091,1.0237867836330528,1089.532920101547
1773,19417.182072883938,1.0018686870561793,19453.466709691013
1772,2595.6272172555327,1.0195911582083184,2646.478560718603
1771,2351.1392870917916,1.0142778095838054,2384.7084061378923
1770,1722.0210811281577,1.0142778095838054,1746.6077702238042
1804,97.08968322127475,1.9999999999999996,194.17936644254945
1803,98.52160262013786,1.5976393991275981,157.40199401112503
1802,135.16982620581985,1.220774588761456,165.01188899936722
1801,727.6052685743198,1.0154266118857451,738.8297526586391
1800,847.509428910329,1.1273819468663424,955.4668299525088
1799,869.6188818315277,1.1620882641587653,1010.5738968672865
1798,998.3307606361923,1.0154266118857451,1013.7316218141275
1797,1661.789355661138,1.0383729296620199,1725.5570817190162
1796,2865.9096078459406,1.0154266118857451,2910.120883065808
1793,515.4103911817074,1.2867595658931672,663.2092512138013
1790,1404.178254129365,1.040953113521426,1461.683725575043
1757,3523.2805386492983,1.0040138635496085,3537.4225059784276
1753,2130.2957790438086,1.0702512472361092,2279.951714503455
1754,3061.093097165227,1.1759832815222162,3599.7943054493676
1751,1525.747936433123,1.0306136293498982,1572.4566182404585
1750,8847.685293814284,1.0069799246935383,8909.441470877233
1752,2108.4731385230552,1.0107789675960723,2131.200302160384
1749,277.0069043710828,1.1697112115344086,324.0180817152953
1748,368.95431404058036,1.0154266118857451,374.6460290468557
1746,322.3346641622484,1.0069799246935383,324.5845358442178
1745,646.475566415349,1.0383729296620199,671.2827278536197
1743,887.9356761996023,1.009827572518618,896.6619284493221
1742,478.6073075197637,1.0069799246935383,481.94795048402875
1739,1192.4917344071437,1.0228173360965906,1219.7012191035178
1738,3921.803540346562,1.2302442993938187,4824.776448853854
1733,1140.5433102934621,1.0069799246935383,1148.5042167090294
1735,114.95323793892749,1.0485291251408106,120.53181800820708
1737,1356.708248961717,1.0154266118857451,1377.637660560638
1711,1117.1893686363474,1.040953113521426,1162.941751675042
1713,377.64357509906404,1.082392200292394,408.7584601777619
1702,2344.500702469508,1.0069799246935383,2360.8651408166925
1700,4179.12475842626,1.0025972368271479,4189.97893515409
1712,1078.5095346472808,1.0154266118857451,1095.14728265336
1717,767.2472492660745,1.1759832815222162,902.269937930812
1716,447.827997405082,1.0107789675960723,452.6551208777253
1715,1115.8473392073065,1.0018686870561793,1117.9325086867552
1718,1388.210009063594,1.4363150708545867,1993.9069575292224
1724,85.67539122141898,1.2026897738700906,103.04091689431993
1723,117.20169030502439,1.1033779189624917,129.31775714764424
1722,160.4367831402924,1.0416125740049451,167.11297065183314
1721,591.1508396835998,1.0416125740049451,615.750147748019
1720,409.7134465347626,1.0018686870561793,410.47907274904475
1729,130.5442526921106,1.0107789675960723,131.95138496173234
1731,301.23021241277456,1.035276180410083,311.8564637308152
1728,362.2388464831747,1.0154266118857451,367.82696457781066
1727,372.02319584414363,1.0592221479113848,394.0552085748916
1725,533.2776094023138,1.0154266118857451,541.5042761099213
1726,167.03778399586918,1.1033779189624917,184.30580249346835
1732,604.0982775921002,1.0107789675960723,610.6098333511086
1734,1602.1840115648229,1.0018686870561793,1605.1779920888514
1736,191.34064511023462,1.1033779189624917,211.12104281467134
1744,1739.5314750059042,1.0018686870561793,1742.782114957064
1740,541.1460942169651,1.0560441249590302,571.4741535423519
1741,822.8054235931486,1.0182872914623238,837.8523061911773
17057,57.040886513888836,1.9999999999999996,114.08177302777764
17011,232.31551473774016,1.097858947342143,255.0496664612235
17073,94.45914680883288,1.356341704909257,128.11888022696618
15240,476.67124013148714,1.1033779189624917,525.9485209655504
15241,6565.050965462811,1.035276180410083,6796.640887721866
15242,4739.543054095237,1.060032277095363,5024.068616024085
15244,1850.6954264882952,1.0485291251408106,1940.5080564378716
17000,114.07209128327668,1.4461042949778538,164.9601411418522
15245,416.385367709212,1.1940578594922877,497.1882208907708
15243,562.6709822099656,1.0485291251408106,589.9769127187359
15239,1014.5603833250061,1.2936435667199802,1312.4795129373513
17001,246.51131916604936,1.9999999999999996,493.0226383320986
17003,1721.5986410249025,1.0154266118857451,1748.15707508302
