image.name,analyst,expertise,red,purple,green
34_HGMNE2_2_b_GX010125_00039_205,SP,expert ,3,0,1
34_HGMNE2_2_b_GX010125_00040_210,SP,expert ,4,0,1
34_HGMNE2_2_b_GX010125_00041_215,SP,expert ,7,0,1
34_HGMNE2_2_b_GX010125_00042_220,SP,expert ,1,0,1
34_HGMNE2_2_b_GX010125_00043_83,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00044_230,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00045_235,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00046_240,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00047_245,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00048_250,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00049_255,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00050_165,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00001_16,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00002_22,SP,expert ,9,0,1
36_HGMNE2_3_b_GX010127_00003_28,SP,expert ,2,0,6
36_HGMNE2_3_b_GX010127_00004_34,SP,expert ,6,0,3
36_HGMNE2_3_b_GX010127_00005_40,SP,expert ,3,0,2
36_HGMNE2_3_b_GX010127_00006_46,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00007_52,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00008_58,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00009_64,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00010_70,SP,expert ,0,0,3
36_HGMNE2_3_b_GX010127_00011_76,SP,expert ,0,0,9
36_HGMNE2_3_b_GX010127_00012_82,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00013_88,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00014_94,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00015_100,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00016_106,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00017_112,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00018_118,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00019_124,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00020_130,SP,expert ,1,0,0
36_HGMNE2_3_b_GX010127_00021_136,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00022_142,SP,expert ,1,0,1
36_HGMNE2_3_b_GX010127_00023_148,SP,expert ,2,0,0
36_HGMNE2_3_b_GX010127_00024_154,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00025_160,SP,expert ,0,0,5
36_HGMNE2_3_b_GX010127_00026_166,SP,expert ,0,0,5
36_HGMNE2_3_b_GX010127_00027_172,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00028_178,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00029_184,SP,expert ,4,0,0
36_HGMNE2_3_b_GX010127_00030_190,SP,expert ,3,0,2
36_HGMNE2_3_b_GX010127_00031_196,SP,expert ,4,0,0
36_HGMNE2_3_b_GX010127_00032_202,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00033_208,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00034_214,SP,expert ,0,0,0
36_HGMNE2_3_b_GX010127_00035_220,SP,expert ,3,0,8
36_HGMNE2_3_b_GX010127_00036_226,SP,expert ,7,0,7
36_HGMNE2_3_b_GX010127_00037_232,SP,expert ,6,0,4
36_HGMNE2_3_b_GX010127_00038_238,SP,expert ,6,0,1
36_HGMNE2_3_b_GX010127_00039_244,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00040_250,SP,expert ,2,0,1
36_HGMNE2_3_b_GX010127_00041_256,SP,expert ,2,0,4
